,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
4262,SRRK,27.44,32.26,70.00,21.84,251.21k,199.38k,100.90%,-3.30%,1.06%,-17.77%,-10.80%,-45.82%,55.80,26.1,-37.51,-30.71,Healthcare
4263,SDGR,44.00,61.42,117.00,32.70,742.23k,749.74k,61.58%,-9.02%,-14.43%,-38.91%,-55.85%,-57.97%,74.00,35.4,-35.01,-34.64,Healthcare
4264,SCPL,17.32,17.52,22.29,12.25,1.5M,640.76k,81.27%,-10.97%,-14.71%,-34.78%,-19.59%,-2.61%,19.29,13.67,5.90,5.90,Communication Services
4265,SNCE,11.23,10.39,15.10,8.42,410.39k,203.08k,36.51%,-4.46%,28.63%,30.24%,28.50%,22.85%,18.33,12.85,-0.83,-0.38,Healthcare
4266,SJ,5.48,6.21,18.50,3.22,38.44k,134.96k,0.91%,18.18%,-8.92%,38.16%,-8.04%,-38.36%,-,5.74,74.49,92.05,Communication Services
4267,SQST,,,,,,,,,,,,,,,,,
4268,SCPS,2.7853,5.3061,19.9500,1.5800,126k,87.8k,3.77%,-19.90%,-35.80%,-58.85%,-76.89%,-89.47%,12.00,1.65,,,
4269,SCYX,6.38,6.92,10.25,4.90,343.12k,353.92k,53.00%,-15.22%,-14.19%,18.91%,-13.72%,-13.49%,23.50,6.48,-0.60,1.66,Healthcare
4270,SPNE,14.14,17.39,22.97,11.86,150.94k,131.15k,76.97%,-0.55%,-5.61%,-15.74%,-38.42%,-28.20%,24.78,13.15,-17.63,-5.21,Healthcare
4271,SBCF,35.80,34.74,40.93,28.52,382.45k,267.48k,91.64%,3.28%,2.98%,4.32%,3.34%,21.90%,36.92,35.24,57.65,55.90,Financial Services
4272,STX,100.87,90.49,116.93,58.04,1.76M,2.38M,83.77%,5.29%,10.51%,38.39%,30.79%,89.27%,105.20,115.18,526.00,482.00,Technology
4273,SCMAU,10.06,10.06,10.56,9.99,10.45k,241.36k,28.39%,,,,,,,,,,Financial Services
4274,SGIIU,10.05,10.05,10.25,9.93,1.45k,31.54k,7.48%,-0.61%,-0.89%,-,-,-,-,10.0,,,Financial Services
4275,SCUR,,,,,,,,,,,,,,,,,
4276,SNFCA,8.89,8.55,10.18,7.34,40.87k,27.09k,42.92%,5.17%,2.23%,8.28%,9.80%,15.89%,-,9.18,10.79,11.26,Financial Services
4277,SEEC,,,,,,,,,,,,,,,,,
4278,SEER,27.85,34.89,86.55,19.92,621.74k,420.71k,82.97%,-9.96%,0.79%,-35.62%,-33.83%,-60.73%,53.67,23.06,-18.39,-16.62,Healthcare
4279,SIC,14.44,11.62,14.84,6.05,121.89k,418.7k,56.66%,,,,,,,,,,
4280,SMFR,6.5692,10.3127,27.1800,4.2600,1.93M,1.38M,,-4.76%,-33.23%,-40.86%,-68.59%,-60.36%,12.25,4.7,,13.01,Healthcare
4281,SMLR,107.01,111.89,153.21,80.10,89.94k,69.01k,36.54%,-4.08%,-8.16%,-29.26%,-19.84%,-1.53%,167.33,93.61,4.15,6.69,Healthcare
4282,SMTC,87.07,72.97,94.92,57.97,323.66k,320.82k,98.98%,5.45%,1.83%,17.81%,30.54%,27.34%,97.60,89.9,34.43,32.93,Technology
4283,SENEB,48.90,49.81,61.96,37.80,1.47k,384,7.17%,,,,,,,,,,Consumer Defensive
4284,SNES,1.2962,1.5360,3.1400,0.9380,143.75k,222.97k,9.14%,-8.91%,-24.94%,-37.87%,-41.73%,-48.45%,4.00,1.0,-2.25,-1.70,Basic Materials
4285,SNHVV,,,,,,,,,,,,,,,,,
4286,SNSE,7.31,9.86,26.50,4.70,190.8k,91.19k,19.16%,-14.16%,-28.68%,-55.26%,-50.31%,-,12.00,5.22,-9.69,-9.77,Healthcare
4287,SRTS,5.86,4.27,8.55,3.08,418.07k,191.01k,7.86%,-4.39%,20.80%,98.01%,81.04%,73.82%,8.89,7.24,,,Healthcare
4288,SNTG,1.8053,5.1259,52.0000,0.9070,609.56k,544.23k,0.12%,-7.59%,-22.54%,-36.19%,-,-,-,1.31,,,Financial Services
4289,SQL,2.9297,3.3475,5.8000,1.7220,223.49k,395.84k,,-8.08%,-33.58%,-51.08%,-,-,-,1.88,-0.64,-0.25,Healthcare
4290,SERA,9.87,10.23,15.50,6.58,43.74k,29.96k,7.28%,-10.29%,-31.32%,-31.58%,-,-,18.50,7.01,-9.86,-6.31,Healthcare
4291,MCRB,8.30,13.27,29.90,5.41,2.75M,1.94M,90.57%,1.40%,-1.13%,28.05%,-63.44%,-64.38%,19.12,8.82,68.22,-48.33,Healthcare
4292,SVC,9.90,11.38,15.39,7.95,1.44M,1.28M,80.42%,0.34%,-0.67%,-21.97%,-29.52%,-23.45%,12.50,9.03,,,Real Estate
4293,SFBS,82.74,72.48,88.94,39.46,276.69k,146.64k,62.55%,2.68%,8.44%,9.73%,28.35%,118.21%,80.67,86.7,54.48,54.46,Financial Services
4294,SEVN,10.52,11.32,13.64,9.92,121.2k,56.88k,14.13%,-0.87%,-0.29%,-2.03%,-13.66%,-0.77%,-,10.38,,,Real Estate
4295,SVBI,12.67,11.71,13.63,6.74,7.87k,6.52k,33.75%,,,,,,,,,,
4296,SNDA,30.10,36.93,58.94,11.48,19.33k,18.3k,69.63%,6.00%,-6.02%,-20.28%,-42.91%,121.65%,23.00,29.17,36.51,49.08,Healthcare
