,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Updated_Price,Predict_Inc_Dec
1903,91.86,105.23,124.53,77.13,334720.0,368660.0,1.0356,0.0512,0.0139,-0.122,-0.217,-0.0501,108.94,87.78,38.93,40.03,-1.1000000000000014,5,89.22,1
1905,29.32,36.41,56.1,24.43,557650.0,376860.0,1.0125,0.0695,0.0445,-0.1689,-0.2496999999999999,-0.4079,41.86,28.36,0.02,-0.23,0.25,1,29.08,1
1906,38.21,35.69,49.27,27.77,1120000.0,1140000.0,0.8865000000000001,0.0616,0.2075,0.0263,0.1755,0.3075,50.64,39.7,-30.38,-16.47,-13.91,4,34.31,0
1909,130.68,152.93,189.0,117.64,614980.0,587970.0,0.988,0.0403,0.0745,-0.0008,-0.2596,-0.1794,202.3,130.71,-52.83,-363.32,310.49,3,143.59,1
1910,21.69,19.89,24.5,17.25,730.0,561.0,0.0069999999999999,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,22.25,1
1911,14.49,16.67,21.96,12.86,6980000.0,7470000.0,0.8177,-0.0096,0.0628,-0.0823,-0.143,-0.0204,19.23,14.4,130.0,64.0,66.0,2,15.12,1
1913,9.79,9.82,11.25,9.61,8150.0,8860.0,0.9118,-0.001,-0.001,0.0093,-0.023,0.0353,27.67,9.77,-0.41,-0.45,0.04,1,9.81,1
1915,8.29,7.74,14.84,5.03,344520.0,420930.0,0.7852,-0.0421999999999999,0.0381,0.1175,0.2029,0.2761,15.4,8.32,-30.09,-4.01,-26.08,3,6.35,0
1916,11.66,7.71,22.3,4.22,874560.0,356210.0,0.0012,-0.1807,0.7095999999999999,1.892,1.5537999999999998,0.0353,27.67,17.57,0.02,-0.23,0.25,5,4.39,0
1917,9.68,9.68,9.74,9.58,17770.0,68270.0,0.0908,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,9.61,0
1920,398.2,343.82,442.44,257.7,1610000.0,1200000.0,0.8987,0.0626999999999999,0.0513,0.2976,0.342,0.7105,438.57,433.0,1068.42,632.98,435.44000000000005,4,421.48,0
1922,9.77,9.74,10.1,9.6,3280.0,34710.0,0.6581,0.001,-0.0040999999999999,0.0031,0.0056999999999999,0.0353,27.67,9.78,0.02,-0.23,0.25,1,9.78,0
1923,98.85,114.94,141.07,84.78,116170.0,109520.0,1.0449,0.0173,0.0124,-0.1535,-0.2301,-0.0031,110.25,95.45,-2.3,-22.4,20.1,10,101.14,1
1924,1.8099,2.3869,5.49,1.07,12970000.0,2620000.0,0.0068,-0.2483,-0.3743,-0.5927,-0.5234000000000001,-0.7029000000000001,27.67,1.21,-5.78,-0.23,-5.55,5,1.06,0
1925,1.7622,4.0718,9.969,1.14,1310000.0,1520000.0,0.5988,-0.1533,-0.373,-0.5811999999999999,-0.7811,-0.8271,6.5,1.25,-28.13,-36.5,8.370000000000001,3,1.05,0
1926,5.9565,9.0238,14.0,3.42,336870.0,315270.0,0.429,-0.0412999999999999,-0.2413,-0.6347999999999999,-0.1115,0.0353,11.03,3.72,-25.15,-2.72,-22.43,4,3.11,0
1927,6.1,5.81,8.16,5.11,109880.0,72150.0,0.4243,0.003,0.0588999999999999,0.243,0.1426,0.0121999999999999,11.0,6.61,-0.84,0.94,-1.7799999999999998,3,6.68,1
1930,13.7,19.23,63.1,9.05,5010.0,3150.0,0.3722999999999999,-0.1389,-0.2699,-0.4211,-0.5901,-0.2799,60.0,9.35,-0.89,0.08,-0.97,5,9.1,0
1931,18.28,21.97,60.0,16.63,160.0,585.0,0.0197,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,2,18.47,1
1932,8.85,9.93,18.15,5.07,522900.0,426230.0,0.2876,0.0202,0.1552,-0.0077,-0.2917,-0.2618,19.0,9.24,-1.76,6.2,-7.96,3,8.15,0
1933,9.75,9.73,9.99,9.52,19020.0,16219.999999999998,0.7273000000000001,0.001,0.001,0.0062,-0.0070999999999999,0.0353,27.67,9.76,10.77,11.42,-0.6500000000000004,1,9.72,0
1934,12.71,12.8,14.99,11.44,3050.0,1630.0,0.3686,0.0513999999999999,-0.0181,-0.0379,0.0152,0.3015,27.67,12.69,0.02,-0.23,0.25,5,13.01,1
1935,6.28,6.8,9.48,5.95,25450.0,21250.0,0.4478,0.0073,0.0181,-0.0419,-0.0521,-0.1534,27.67,6.15,0.81,0.17,0.64,4,6.25,1
1936,11.73,7.7,16.77,4.61,837010.0,1490000.0,0.6069,0.1109,0.2362,0.9234,2.0074,2.177,20.5,16.69,-14.46,-12.96,-1.5,3,13.32,0
1939,10.74,12.33,14.86,9.8,195440.0,197730.0,0.6615000000000001,0.0,-0.0483,-0.1168999999999999,-0.2357,-0.1632,15.5,10.14,-5.05,7.4,-12.45,5,10.71,1
1940,5.2134,7.0333,8.98,4.605,45020.0,24250.0,0.5558,0.0613,0.0121,-0.2428,-0.3703,-0.2336,7.88,5.01,-10.62,1.32,-11.94,1,5.33,1
